bin_lo_mm	bin_hi_mm	x_center_mm	mean_walk_frac	ci_lo	ci_hi	n_units	training_index	cond_stat	skip_first_sync_buckets	exclude_wall_contact	min_meddist_mm
2.0	4.0	3.0	0.8450882602505801	0.8102660942774986	0.8799104262236617	56	1	median	1	1	1.5
4.0	6.0	5.0	0.8931024018193471	0.8651296939706554	0.9210751096680387	53	1	median	1	1	1.5
6.0	8.0	7.0	0.911528721369896	0.8905315395473934	0.9325259031923987	50	1	median	1	1	1.5
8.0	10.0	9.0	0.8610093706476527	0.8261872441354384	0.895831497159867	50	1	median	1	1	1.5
10.0	12.0	11.0	0.8421640476290578	0.8135926495677412	0.8707354456903744	52	1	median	1	1	1.5
12.0	14.0	13.0	0.8105637599747297	0.7823555398682238	0.8387719800812357	54	1	median	1	1	1.5
14.0	16.0	15.0	0.7537248247697004	0.7090618002151997	0.798387849324201	53	1	median	1	1	1.5
16.0	18.0	17.0	0.7410498852091467	0.690889787387507	0.7912099830307865	38	1	median	1	1	1.5
18.0	20.0	19.0	0.7370528927783121	0.6849966966755454	0.7891090888810788	21	1	median	1	1	1.5
